" |text необходимый устранить шакал избежание летальный исход"
" |text возле автотк буревестник стая бездомный собака нападать проходить человек пара неделя назад собака напасть двухлетний сын отогнать ребенок очень испугаться сегодня собака бегать напасть срочно принять мера"
" |text образоваться стая бездомный крупный собака лаять сутки напролет страшно выпускать ребенок детский площадка просить разобраться это пока произойти несчастие"
" |text житель микрорайон сталкиваться бродячий собака нападать человек буквально недавно напасть мальчик периодически страдать домашний собака глаз хозяин раздирать кошка смерть разодрать весь курья"
" |text улица советский далее двор жить бездомный собака жилец подъезд прикормить кидаться весь прохожий чужое приходиться встречать иначе покусать администрация местный жэу звонить результат ноль видимо нужно покусать ребенок"
" |text плата самосыровый бегать стая бездомный собака ул коваль мир"
" |text территория жк современник месяц назад появиться бездомный собака навязчивый поведение беспокоить житель"
" |text стоянка возле гимназия держать непривязанный собака гулять школьный территория укусить нога ребенок сказать рюкзак тащить спортивный площадка принять пожалуйста мера"
" |text пустырь около гараж вокруг дом помойка вокруг дом б бегать собака скулить лаять выть ночь"
" |text очень бездомный собака щенок выйти улица невозможно ходить стая"
" |text здравствовать просить решить проблема наш деть сад лето дестка беседка проживать собака почему сей пора реакция риск собака мочь покусать наш ребенок просить решить проблема это ребенок гулять"
" |text двор наш дом бегать огромный собака утро ребенок вести садик школа носиться наводить жуть просить решить данный вопрос"
" |text бегать стая собака гол улица чапаев"
" |text пересечение улица март тагиров разгуливать бездомный собака шт"
" |text день парка бегать бездомный собака стая около собака разный порода крупный просить принять мера отлов бездомный собака"
" |text сколько подавать заявка собака толпа утром днем ходить"
" |text очень собака развестись возможно выйти подъезд школа ребенок выйти мочь бояться решить пожалуйста проблема"
" |text микрорайон город альметьевск школа парк шамсинур вокруг несколько детский сад бегать свора собака количество очень страшно ребенок младший возраст класс учиться школа смена добираться школа самостоятельно просьба решить проблема"
" |text карбшева отрадный забросить сарай поселиться щенок шт"
" |text здравствовать решить проблема собака невозможно гулять коляска улица бояться выпускать улица ребенок возле дом дочка бояться ходить школа жить нижний мактам год каждый день видеть собака исчезать появляться еще большой спасибо"
" |text возле магазин калинка бездомный собака бегать дорога туда сюда создавать опасный ситуация дорога забегать калинка бегать магазин сегодня утром собака кидаться человек кусаться лаять"
" |text весь вознесенскомубегать бездомный собака частность улица профсоюзный заметить собака ошейник выйти улица страшно говорить ребенок пожилое человек ночь напролет слышный непрекращающийся лай просить отловить весь собака улица профсоюзный"
" |text метро авиастроительный соцгород отловить"
" |text жк современник примерно месяц назад появиться бездомный собака думать переместиться комплекс стройка соседство некоторый житель комплекс начать подкармливать собака ряд детский площадка страшно гулять ребенок"
" |text просить провести работа царицыно однодневный хотя недельный начаться нападение собака домашний питомец стая еще прошлое год вновь вернуться отловить опасный ночью выйти улица стая насчитываться собака маленький приходить завод сад"
" |text поселок щербаковый улица новый бегать бездомный собака который агрессивно лаять человек кидаться ребенок случай укус кататься ребенок велосипед также животное бегать детский площадка дорога просить принять мера"
" |text озеро харовома бегать собака фото попасть немного поздний собака переместиться перекресток вахитов яруллина начать кидаться сворачивать машина мочь находиться дом декабрист юг зап близлежащий помойка"
" |text ночь стая собака рабочий стройка ул родина б подкармливать просить принять мера"
" |text район улица бирюзовый колымский бродить стая собака фото"
" |text каждый день прогонять дом каждый собираться именно наш балкон ночь лаять спать давать просить решить проблема"
" |text дорога предприятие бегать свора собака гол огрызаться"
" |text бездомный собака постоянно забегать подъезд невозможно пройти квартира сразу лаять кидаться ребенок бояться улица выходить также бегать двор собака бросаться ребенок площадка"
" |text ул вениамин григорьев стая бродячий собака локация собака дом ул вениамин григорьев собака вести агресивный бросаться человек возможно пройти каждый дом жить ребенок возможно выйти погулять бояться шребенок школьник мочь спокойно ходить"
" |text пос карабаш возле поликлиника мама калимуллин р р прохожий наброситься укусить бездомный собака черный цвет вечером позвонить местный управление просьба отловить собака реакция сей пора собака гулять набрасываться весь"
" |text путь платформа станция высокий гора особенно утро человек идти электричка встречать стая бездомный собака последний время начать набрасываться человек кроме дать участок очень темно убедительно просить администрация решить данный вопрос"
" |text здравствовать начаться учебный год также ученик идти школа бездомный собака прибавиться улица еще маленькая барбосик огромный собака ребенок бояться подходить школа просить принять мера"
" |text территория садик школа ул жуков месяц бегать стая агрессивный собака последний неделя окружать ребенок собака агрессивный большой шт фото лишь часть звонок администрация город результат дать помочь"
" |text наш поселок очень бездомный собака кидаться ребенок взрослый ездить общественный транспорт многие школьник возвращаться домой пешком засада начинаться собака очень агрессивный бросаться человек машина"
" |text поселок радужный стая агрессивный бродячий псовый ноябрь случай нападение человек часто животное видеть около дом улица вазетдинов поселок ребенок который ходить школа пешком пес представлять опасность просить короткий срок решить проблема"
" |text очень развестись собака забросить дача улица лесна ночью спать возможно вой лай лай вой будить ребенок днем опасный выйти ребенок улица бояться набросяться ребенок вить ребенок понимать собака подходить особенно щенок"
" |text здравствовать улица ломжинский сторона дорога балкон поселиться бродячий собака практически каждый ночь стоить вой собака мешать спать недавно собака ощенятиться семь щенок просить приять мера"
" |text район гафиатуллин школа ходить бездомный собака около нападать ребенок который идти школа ночью лаят опасный ребенок гулять"
" |text подъезд жилой дом ул гаврилов далее бездомный кошка подъезд это образоваться антисанитарный условие просить разобраться найти дом приют животное"
" |text помочь пожалуйста решение вопрос собака бегать поселок голодный злой бездомный собака холодное время год особо агрессивный ребенок ходить домой мочь напасть случай укус"
" |text улица кулла далее пос плодопитомник бегать стая подроставать агресивный собака несколько жить подвал нежилой дом адрес ул кулла далее"
" |text ряд дом улица мурзина близлежащий территория бегать бездомный огромный собака количество никто кормить злой бросаться человек страшно выйти ребенок улица просить решить вопрос незамедлительно"
" |text большой количество собака проходить улица сокольский очень опасный получить укус собака заразиться бешенство фотография сделать днем окно дом"
" |text бегать проезжий часть бросаться машина"
" |text просить отловить наш улица бездомный собака собака бросаться прохожий особенно остро строить вопрос безопасность наш ребенок который ходить улица школа институт дать проблема однократно отправляться"
" |text бродячий собака везде облюбовать помойка принять мера"
" |text целое днями вокруг школа бегать агрессивный собака накидываться человек ребенок бояться идти школа проходить мимо каждый день садик ребенок взрослый страшно именно бегать возле тукать школа собачий парк некоторый выходить палка ребенок"
" |text просить принять мера срочно стая бездомный собака около школа кидаться человек ребенок случай укус ребенок бояться ходить школа школа приходиться встречать палка просить услышать наш жалоба"
" |text видеть ряд остановка искать еда собака увязаться женщина"
" |text просить отловить бродячий собака"
" |text просить срочно отловить собака бегать стая гол агрессивный собака большой очень"
" |text двор школа возле мусорный площадка бегать свора собака ребенок отсутствие еда собака мочь напасть страшно ребенок"
" |text просить принять мера срочно стая бездомный собака вокруг дом кидаться человек ребенок ребенок бояться ходить школа школа приходиться встречать палка"
" |text территория ограниченный улица вахитов ягодинский поперечно базарный баженов просто туча собака ощущение гнездо просить досконально проверить указанный выше территория"
" |text район улица казанский далее бегать стая бездомный собака лаять огрызаться прохожий среди который ребенок идти школа"
" |text агрессивный сабак бросаться человек"
" |text бродить около дом возле мусорный контейнер"
" |text днем двор дом адрес наиль юсупов дом стая собака дважды напасть отмахиваться пакет успеть добежать подъезд"
" |text точный координата дорога вести лодочный станция кама портал название улица лет стая бродячий собака"
" |text двор постоянно лаять собака ребенок страшно выйти подъезд"
" |text просить принять мера отлов бродячий собака находиться адрес гарифьнов детский садик однократно стая собака нападать ребенок взрослый случай укус"
" |text улица сайдашева дом село верхний мактам поселиться бродячий собака представлять угроза житель возможность отпустить ребенок прогулка просить принять мера отлов бездомный собака геолокация карта улица высвечивать адрес сайдашева"
" |text двор куча собака лаять сношаться постоянно противно смотреть страшно неизвестно голов ребенок гулять смотреть это еще накинуться дать бог весна обострение просить принять мера"
" |text гулять стать давать спать утро грызться кошка страшно ребенок"
" |text около школа адоратский постоянно пугать ребенок бездомный собака просить отреагировать"
" |text стая агрессивный собака около школа n квартал бросаться прохожий"
" |text стая собака гол гулять вишневка карантин бешенство магазин айк салмачахнуть"
" |text собака жить забросить стройка жить читаться заявка выполнить бегать днем двор детский площадка жить теплотрасса плита фото смотреть"
" |text стая бездомный собака шт жить бывший кульшариповский птицефабрика каждый день совершать набег деревня кульшариповый голодный агрессивный"
" |text детский площадка около дом вокруг садик ходить стая бродячий собака"
" |text наш сель столбище стая ходить бездомный собака страшно отпускать ребенок школа провожать возможность случай нападение школьник просить принять мера собака агрессивный"
" |text жить микрорайон бездомный собака собираться стая шт вести очень агрессивно страшно выходить улица ребенок ходить школа опасаться жизнь свой ребенок"
" |text стая собака кидаться человек обитать возле кирпичный дом снт любитель забор профнастил"
" |text территория ветеринарный академия ходить бездомный собака ходить человек известно ожидать ребенок вызывать страх просить поймать увезти"
" |text гулять ребенок площадка стая собака гулять вместе огрызаться лаят выходить подъезд утром страшно идти детский сад вечером собака идти пята"
" |text ноябрь появиться бездомный щенок отдать приют сучка остаться бегать возле нея кобель каждый день страшно ребенок отпускать гулять появиться бездомный щенок"
" |text возле дом улица мир ежедневно бегать стая собака точный адрес коваль мир возможно выйти ребенок улица"
" |text первое подъезд наш дом месяц жить бездомный собака подъезд проживать маленькая ребенок простить принять мера ро избавление собака"
" |text теплотрасса собираться бездомный собака оформиться стабильный стая особый довольно крупный размер мешать выгуливать домашний животное проявлять зооагрессия пугать ребенок просить принять мера"
" |text двор спокойно передвигаться стая собака минимум семь собака страшно ходить улица малолетний ребенок"
" |text просить осуществить вылов стая бездомный собака"
" |text район ул лебедев заметить стая бродячий собака район пляж камский мор наблюдать аналогичный картина большой бродячий пес риск нападение инфицирование бешенство нужный отлов"
" |text просить отловить бродячий собака"
" |text стая бездомный собака бродить улица королева окрестность"
" |text улица московский старый сарай бездомный собака"
" |text район дом бродить агрессивный стая собака количество менее особый просить принять мера пока россия происходетый несчастный случай срочно произвести отлов весь собака нападение серьезный травма население"
" |text огромный злой собака стая бегать бросаться ребенок принять мера конец конец весь нк полный заявка собака стаять большой отписываться выезжать обнаружить срочно просить отловить собака кусать ребенок"
" |text очень собака бегать район школа эластик лаять человек защищать самка ребенок бояться ходить школа приходиться провожать встречать принять мера"
" |text бегать большой стая собака собака остановка дркб дорога жилой дом оренбургский тракт оренбургский тракт б ходить ребенок школа школа некоторый страх плакать бояться идти взрослый решаться идти"
" |text снова расплодиться бродячий собака круглосуточно стоить лай"
" |text стая агрессивный собака блокировать вход помещение магазин лаять прохожий двор ребенок бояться выйти улица ряд школа срочно принять мера"
" |text стая собака адрес марджани давать жить спокойно жилец это дом ночью выть лаять пугать местный житель особенно ребенок день ребенок прибежать улица испугать собака знать собака надеяться нибыть трагедия дело дойти"
" |text солнечный город ст гариф ахунов бегать бездомный собака постоянно вместе постоянно путь детский сад стать страшно гулять двор водить ребенок деть сад охранница парковка подкармливать фраза водить поводок говорить это собака"
" |text наш подъезд ул королева уехать жилец оставить собака девочка сидеть день пить идти забрать пожалуйста"
" |text недавно двор появиться собака вроде сосед подкармливать хотеться принести щенок просить принять мера"
" |text дом жить стая бездомный собака лай ночь давать покой весь дом страшно ребенок огромный подкармливать неизвестный мужчина будка имя построить известно привить опасный порода собака огромный похожий алабай"
" |text улица галеев новатор гулять толпа собака посчитать шт фоткать срочно принять мера"
" |text поселок щербаковый достроить забросить дом улица новый бегать бездомный собака который агрессивно лаять человек кидаться ребенок случай укус кататься ребенок велосипед также животное бегать детский площадка дорога просить принять мера"
" |text улица ленинградский бегать бездомный собака который агрессивно лаять человек кидаться ребенок"
" |text александр курыновый сдаться дом жить человек ряд находиться детский школа территория бегать очень бездомный собака который кидаться человек особенно вечер прибегать собака соседский стройка напротив школа фото собака"
" |text поселок вознесение дом ул карлыгач боков переулок постоянный скопление бездомный собака агрессивно лаят прохожий пытаться укусить прикреплять фото просьба передать служба отлов это угрожать жизнь наш ребенок спасибо"
" |text просить решить вопрос многочисленный бездомный животный куюкаха адрес квартал"
" |text забросить дом улица москвин поселиться стая бездомный собака собака начать давать потомство ситуация происходить ежегодно необходимый провести необходимый мероприятие контроль численность бездомный собака отлов стерилизация далее"
" |text территория улица аделить кутуй школа далее бегать стая бездомный агрессивный собака кругом школа детский сад собака кидаться лаять человек помочь пожалуйста"
" |text стая собака ходить около наш жк сказочный лес пол район дркб штука больший собака темный время сутки рано утром нападать ребенок взрослый гулять питомец поводок многие житель звонить открытый казань результатный"
" |text собака изобразить фото напасть женщина несколько укусить нога справка травмпункт собака ошейник чип уха еще чипировать собака необходимый принять мера"
" |text улица волжский соседний улица бегать бездомный злой собака ребенок взрослый бояться ходить работник почта также бояться ходить наш улица случай кидаться человек принять мера пожалуйста"
" |text недавний пора район улица тимирязев лядова бродить целый стая собака количество около ми штука просьба отловить"
" |text наш двор свора бездомный собака кидаться человек страшно ребенок выпускать улица"
" |text крыльцо двор дом б сидеть огромный собака ук реагировать отправить звонить номер телефон удивленный разочарование ответить нечего мочь помочь выходной ребенок возможность выйти улица кидаться ребенок просить принять мера"
" |text двор дом завестись стая огромный бродячий собака бродить район лаять человек внушать страх свой ребенок местный житель"
" |text каждый день житель дом ряд сквер васильченко подверженный опасность вид стая собака который угрожать наш жизнь буквально вчера свидетельница крик женщина который ринуться стая знать случай нападение животное человек просить помочь"
" |text оо ук ямьль йорт принять пожалуйста мера устранение бездомный собака кошка подъезд ребенок подъезд страшно заходить собака ночью вообще спать невозможно постоянный собачий лай вой ждать пока собака покусать"
" |text снова создаться стая бродячий собака ребенок бояться ходить школа просить срочно принять мера"
" |text год появиться стая собака просить срочно принять мера ходить возможно"
" |text свора агрессивный собака нападать облаивать ребенок страшно пройти школа зайти"
" |text двор ул ак королева далее течение месяц бегать стая бездомный собака весь ошейник собака аргессивный вести отношение прохожий непосредственный близость находиться детский сад школа ребенок бояться ходить школа гулять двор"
" |text бездомный собака штука вести агрессивно наброситься просто проходить мимо бросаться человек двор мама коляска маленькая ребенок школьник толпа бегать жк рычать лаять"
" |text добрый день центральный рынок бегать целый свора бродячий собака бегать возле человек дать бог начать кидаться человек пожалуйста принять мера"
" |text лесной городок собака домный наверняка прививка ребенок улица отпускать страшно обращение ук проблема решиться"
" |text стая бездомный собака постоянно разгуливать жк страшно ходить весь прочее залезать мусорный бак раскидывать мусор поиск еда"
" |text улица васильченко азс мустанг бегать бродячий собака очень это ряд парк урицкий"
" |text посадка возле детский садик бродить агрессивный собака пугать ребенок идти садик гимназия собака заходить поселок вознесеньепо ул иван кабушкина страшно мочь напасть ребенок сегодня видеть крупный собака вчера собака"
" |text ночью днем бегать стая собака очень страшно ходить особенно ребенок собака пытаться запрыгнуть сын сын бояться выходить улица ночью постоянно лаять"
" |text наш улица постоянно бегать бездомный собака забегать двор невозможно выйти улица ребенок педиатр бояться приходить бездомный присоединяться собака нерадивый сосед который выпускать свой овчарка весь день разговор сосед приводить"
" |text улица подгорный адрес вятский овраг конец улица иметься мусорка огромный количество бездомный животное собака кошка ребенок мочь играть улица просто идти улица"
" |text дикий агрессивный собака рычать гавкать человек велосипед невозможно ездить необходимый отправить приют"
" |text путь работа район большой количество собака путь работа бывать стая собака собака заметить горьковский шоссе далее б сторона ул можайский"
" |text беспризорный собака ходить возле дом ул чапаев кидаться лаять прохожий лежать возле дверь подъезд фактически препятствовать вход дом некоторый человек удаваться зайти дом ложиться лестничный площадка дверь квартира принять пожалуйста мера"
" |text двор дом ул энергетик высокий гора бегать бродячий агрессивный собака бросаться житель особенность ребенок многие пожилое молодая мама ребенок бояться выходить улица просить принять мера"
" |text просить принять мера отлов собака поселок малое клык днем редко появляться зато ночью бегать стадо овца ходить стая собака перегрызть очень кошка бросаться машина жить собака овраг мост ряд школа напротив дом большой красный"
" |text специально отвести место это"
" |text детский площадка двор дом март герцен фахретдин обитать бродячий собака нападать ребенок прохожий проявлять агрессия друг друг ребенок страшно гулять площадка принять мера"
" |text писать нападение собака съездить посмотреть найти собака гулять возле мучорка гулять стая становиться весь большой"
" |text район утро пробегать стая собака свора накинуться укусить нога собака убежать неизвестный направление"
" |text комплекс гулять стая бездомный собака"
" |text стая собака лаять ходить улица маленькая ребенок заходить придомовый территория"
" |text жм кульсеитовый улица поэт каменев район дом жить шесть бездомный крупный собака который вести агрессивно"
" |text просить отловить стерилизовать бездомный собака зеленодольск улица вишневый поймать мочь рука приучить"
" |text огромный собака бегать детский площадка утро ночь лаять кидаться прохожий отговорка типо собака убегать видеть отловщик неуместный очень глупый хотеть найти писать вышестоячий орган прокуратура отловщик работать"
" |text бездомный собака единственный детский площадка"
" |text примерно час ночь наблюдать окно стая собака около штука облаять прохожий парень прохожий испугаться спокойно продолжать свой путь мочь стая наблюдаться ночь необходимый принять мера"
" |text год альметьевск район ртс ул дружба магазин пятерочка щенок месяц жить детский площадка нападать прохожий"
" |text здравствовать обращаться обращение выловить собака проблема уйти вчера возле территория гимназия увидеть стая собака минимум штука просить помочь пока это привести трагедия жительница дом напротив восстание"
" |text адрес отрадный близлежащий дом бегать бездомный собака укусить женщина сумка пугать ребенок просьба произвести отлов"
" |text нижний мактам ул заводский стая агрессивный собака нападать человек счастие порвать пальто прокушенный нога парень успеть перепрыгнуть забор детский сад мужчина забежать подъезд дом просить принять необходимый мера"
" |text собака чувствовать дом"
" |text бесхозный сарай расселить год назад муниципальный дом ул варшавский год обитать размножаться бездомный собака питаться отход площадка сбор тко периодически проявлять агрессия прохожий имя кажется угроза выводка щенок"
" |text несколько видеть наш район четыре бездомный собака сегодня утро громко лаять разорвать глаз кошка ходить работа скоро ребенок пойти школа страшно выходить улица просить принять мера"
" |text бездомный собака проявлять агрессия пытаться напасть начинать лаять сгегаться остальной"
" |text здоровый псовый сбиться организовать стая садик сандугач март зарядить нападение стая растерзать кошка бегать давно проявление агрессия замечать начать кошка закончиться тропинка находиться лицей осторожно ребенок"
" |text близкий вечер бездомный собака сбиваться стая штука бегать улица частное сектор лаять стая домашний питомец гоняться кошка страшный картина стая бездомный псовый сбиваться подобный стая"
" |text время прогулка собака прийтись помощь прохожий отбиваться нападение агрессивный бездомный собака укусить собака зацепить куртка собака жить парковка напротив средний школа терроризировать район"
" |text комплекс новое город около дом несколько день ходить бездомный собака маленькая порода лаять каждый прохожий просто ночью лаять давать спать карантин народ ходить мало весь равно редкий прохожий начинать лаять"
" |text собака лаять кидаться ребенок опасный выходить принять срочный мера"
" |text несколько бродячий собака появиться район ул тургенев регулярно орать число ночь риск нападение ребенок собака бояться"
" |text территория школа улица волгоградский двор дом волгоградский бегать свора бездомный собака фото попасть факт большой страшно дом выйти"
" |text ряд остановочный павильон обитать большой количество собака представлять угроза человек решение дать проблема просить принять мера отлов"
" |text год казань ул мирсый амир плата киндери лесопарковый зона район дом большой количество бродячий собака внутри леса проходить просека лежбище бездомный бродячий собака ощенесться просить принять мера изоляция невозможно выйти постоянный лай"
" |text возле дом часто ходить стаямма бездомный собака обращаться жалоба отписаться якобы выход местность бездомный животное обнаружить"
" |text собака бродить стая улица промышленный б страшно гулять ребенок"
" |text идти работа поздно сабак еще видеть стоновиться страшно"
" |text шт собака стая бегать около мусорка пугать человек весной еще агрессивный мочь страшно ходить магазин"
" |text собака разбухнуть соска поместить приют вместе щенок"
" |text возле дом ул год шоссе постоянно гулять стая собака часто увидеть возле площадка тко детский площадка дом вести агрессивно страшно ребенок необходимый организовать отлов бродячий собака"
" |text взрослый особый агрессивно настроить человек теплотрасса напротив подъезд год барудить проживать щенок кидаться человек невозможно пройти контейнер выбросить мусор просьба решить вопрос избежание несчастный случай"
" |text вокруг дом ул ю фучик бегать стая бездомный собака взрослый особь подрасти молодняк облаивать прохожий размещаться детский площадка гадить базироваться окно этаж сторона отделение полиция страшно выйти улица агрессивный животное"
" |text целый свора бездомный собака щенок невозможно пройти нападать"
" |text улица постоянно присутствовать бродячий собака жить забросить двор свалка мусор лаять бегать прохожий штука ребенок бояться улица выходить магазин ребенок страшно отправить мочь покусать"
" |text лежать обочина лаять выбегать бросаться проходить"
" |text часто лежать близ магазинчик указанный адрес бегать весь улица участок территория лежать железнодорожный техникум возможно бездомный собака который обосноваться ул залесный"
